WNAM,FEM
"Asensio Rovira, Teo (or Teodor, or Teodoro)",
"Asensio y Mejorada, Francisco",
"Asorey, Francisco",
"Asterain, Diego de",
"Astor, Diego de",
Astorga,
"Astorga Cubero, Juan de",
"Astorga, Juan de",
"Astoy, Gustave",
"Asturias, School of, Anonymous Painters of",
"Asturias, School of, Anonymous Sculptors of",
"Atalaya González, Enrique",
"Atché, Rafael",
"Atenza, Ramón",
"Augusto, Alfredo",
"Aulèstia, Salvador",
"Avalos, Juan",
"Avendaño Fernández, Donato",
"Avendaño, Serafín (or Serafino)",
"Avendaño, Teodomiro",
"Aventín Llanas, José María",
"Avila, Hernando de",
"Avila, Juan de",
"Avila, Lorenzo de",
"Avila, Manuel de",
"Avila, Pedro de",
"Avila, School of, Anonymous Painters of",
"Avila, School of, Anonymous Sculptors of",
"Avrial y Flores, José María",
"Ayala, Bernabé",
"Ayala, Francisco de",
"Azcutia, Cosme de",
"Aznar y García, Francisco",
"Bacarisas, Gustavo",
"Bacle, Bernardo",
"Badajoz the Elder, Juan de",
"Badajoz the Younger, Juan de",
"Badía Plasencia, Francisco",
"Badía Vidiella, Pere (or Pedro)",
